url,check,status,live_value,expected,action
https://workofarttattoo.com/,Homepage title,PASS,Work of Art Tattoo &amp; Piercing | Las Vegas | Walk-Ins on E. Tropicana,Work of Art Tattoo & Piercing | Las Vegas | Walk-Ins on E. Tropicana,OK
https://workofarttattoo.com/,Canonical phone,PASS,725-224-1240 found,725-224-1240,OK
https://workofarttattoo.com/,Canonical address,PASS,2375 present,2375 E. Tropicana Suite 3,OK
https://workofarttattoo.com/,Business email,PASS,booking@workofarttattoo.com,booking@workofarttattoo.com,OK
https://workofarttattoo.com/,Grouped knowledge vault (woa-kb-group),PASS,present,present,OK
https://workofarttattoo.com/,No 'elite artistry' in FAQ,PASS,absent,absent,OK
https://workofarttattoo.com/artists/joshua-cole/,Joshua title contains 'Realism Tattoo Artist',PASS,present,present,OK
https://workofarttattoo.com/artists/joshua-cole/,No keyword-stuffed title (five star nose),PASS,absent,absent,OK
https://workofarttattoo.com/tattoo_shop_near_mgm_grand_las_vegas/,Geo: Directions section,PASS,present,present,OK
https://workofarttattoo.com/helix_piercing_las_vegas_authority_guide/,Guide video embed,PASS,present,present,OK
https://workofarttattoo.com/sitemap.xml,Sitemap URL count vs repo,PASS,149,149,OK
